fraude,tempo,tipo,valor,saldo_inicial_c1,novo_saldo_c1,saldo_inicial_c2,novo_saldo_c2
0,1,CASH_OUT,51749.94,0.0,0.0,62470.0,132842.64
0,9,PAYMENT,30045.04,11857.0,0.0,0.0,0.0
0,10,PAYMENT,12322.6,0.0,0.0,0.0,0.0
0,9,CASH_OUT,29258.52,0.0,0.0,320756.62,212090.5
0,9,CASH_OUT,220822.63,13152.0,0.0,157820.88,392254.05
0,8,PAYMENT,6551.07,410815.56,404264.49,0.0,0.0
0,9,CASH_OUT,113700.12,30398.0,0.0,144211.02,44133.78
0,9,CASH_OUT,150445.65,963.0,0.0,0.0,173966.91
0,8,PAYMENT,1862.55,0.0,0.0,0.0,0.0
0,10,CASH_IN,349200.44,24519547.63,24868748.07,363457.79,318528.03
0,8,CASH_OUT,270186.1,32225.03,0.0,1565408.75,2247459.18
0,10,CASH_OUT,62851.81,2530.0,0.0,561589.99,663789.55
0,1,PAYMENT,5443.26,236997.0,231553.74,0.0,0.0
0,10,PAYMENT,16453.2,0.0,0.0,0.0,0.0
0,9,CASH_OUT,226463.0,10175.0,0.0,106174.0,332637.0
0,7,CASH_OUT,117556.26,0.0,0.0,249763.85,0.0
0,9,PAYMENT,7618.88,0.0,0.0,0.0,0.0
0,10,TRANSFER,3354152.26,1563.0,0.0,1104961.4,6651661.27
0,10,CASH_OUT,68143.59,2761511.95,2693368.35,462061.61,597618.8
0,8,CASH_OUT,120319.74,875156.4,754836.66,0.0,120319.74
0,1,CASH_OUT,107308.84,0.0,0.0,124605.82,66575.5
0,9,CASH_IN,109126.48,0.0,109126.48,253782.49,0.0
0,10,CASH_OUT,22478.52,686619.96,664141.44,31308.0,321403.51
0,9,PAYMENT,7642.9,11070.0,3427.1,0.0,0.0
0,9,CASH_OUT,541622.01,0.0,0.0,1526327.91,10566719.14
0,8,PAYMENT,3160.33,152586.5,149426.17,0.0,0.0
0,1,PAYMENT,25424.36,69756.86,44332.5,0.0,0.0
0,7,PAYMENT,7792.56,100585.46,92792.91,0.0,0.0
0,9,CASH_OUT,277725.84,0.0,0.0,982855.39,515073.65
0,8,CASH_IN,9227.65,687119.87,696347.52,1004958.98,0.0
0,1,CASH_IN,30811.56,7243810.89,7274622.45,152178.0,651524.92
0,10,CASH_IN,38960.3,8889657.64,8928617.94,1653401.65,2680158.15
0,10,CASH_IN,2008.61,2049050.04,2051058.64,1264717.51,905089.69
0,9,CASH_IN,140493.4,3754.0,144247.4,10218.0,0.0
0,9,PAYMENT,5792.76,25812.0,20019.24,0.0,0.0
0,8,TRANSFER,1667482.25,0.0,0.0,2865753.44,4619940.36
0,8,TRANSFER,1683314.65,0.0,0.0,3078384.83,4984096.57
0,9,CASH_OUT,45775.21,0.0,0.0,508306.28,554081.49
0,10,CASH_OUT,176175.49,159222.0,0.0,2256160.53,4200474.38
0,10,DEBIT,8138.57,189505.45,181366.88,20127.0,28265.57
0,9,CASH_OUT,40643.08,0.0,0.0,40988.0,81631.08
0,8,PAYMENT,1211.83,0.0,0.0,0.0,0.0
0,8,PAYMENT,14262.58,5150.0,0.0,0.0,0.0
0,8,PAYMENT,16371.46,1621091.86,1604720.4,0.0,0.0
0,10,TRANSFER,880790.36,0.0,0.0,2164216.55,4793718.13
0,10,CASH_OUT,320438.64,346.0,0.0,58837.0,137317.55
0,10,CASH_IN,223304.83,34649.0,257953.83,142486.06,0.0
0,9,PAYMENT,9808.99,0.0,0.0,0.0,0.0
0,4,PAYMENT,18391.64,0.0,0.0,0.0,0.0
0,10,CASH_OUT,436281.27,30046.0,0.0,30826.0,1091990.76
0,10,CASH_OUT,103618.97,0.0,0.0,2999056.88,3102675.85
0,8,PAYMENT,3782.39,15526.0,11743.61,0.0,0.0
0,10,CASH_OUT,50684.79,30045.0,0.0,0.0,50684.79
0,10,CASH_OUT,186974.93,0.0,0.0,8839872.19,9026847.12
0,9,PAYMENT,10252.54,64784.2,54531.65,0.0,0.0
0,7,PAYMENT,7746.6,661.0,0.0,0.0,0.0
0,10,CASH_OUT,264824.77,682506.2,417681.43,839685.45,1281079.7
0,9,PAYMENT,12123.77,28413.0,16289.23,0.0,0.0
0,9,CASH_IN,220651.69,151.0,220802.69,239109.0,3488.89
0,9,CASH_OUT,15132.03,508855.53,493723.49,3255728.27,3005928.21
0,8,CASH_OUT,131613.19,3011.0,0.0,26073.0,1268413.16
0,9,CASH_OUT,176658.84,493.0,0.0,299304.79,475963.64
0,9,CASH_OUT,139894.86,0.0,0.0,432264.89,390389.71
0,2,PAYMENT,12710.27,325690.0,312979.73,0.0,0.0
0,10,PAYMENT,22204.33,256140.15,233935.82,0.0,0.0
0,2,TRANSFER,84911.32,275.63,0.0,1330.96,86242.27
0,10,CASH_IN,250001.82,7425383.08,7675384.9,928464.08,607152.81
0,4,CASH_IN,180025.45,5059628.0,5239653.45,7074754.63,6894729.18
0,8,CASH_OUT,124699.77,68168.87,0.0,161392.74,412763.55
0,10,CASH_OUT,456867.86,448579.32,0.0,5544721.46,5916456.0
0,8,PAYMENT,29544.78,18683.31,0.0,0.0,0.0
0,10,CASH_OUT,298049.56,0.0,0.0,842396.6,1168129.54
0,8,PAYMENT,33.45,61317.0,61283.55,0.0,0.0
0,9,DEBIT,5906.05,10492.0,4585.95,23446.51,29352.56
0,10,PAYMENT,12541.95,1642816.33,1630274.38,0.0,0.0
0,8,CASH_IN,834938.19,2659160.77,3494098.96,2739230.02,2125199.85
0,8,PAYMENT,14071.51,30140.0,16068.49,0.0,0.0
0,10,CASH_OUT,30730.36,11464.0,0.0,899472.75,2495856.89
0,8,CASH_IN,113514.05,993361.75,1106875.8,180654.56,58626.28
0,9,CASH_OUT,47845.97,102848.0,55002.03,3209219.78,3257065.76
0,9,CASH_IN,135037.91,7588046.17,7723084.07,5088950.59,4852297.72
0,10,CASH_IN,170540.8,15155192.94,15325733.74,5388343.22,5217802.42
0,9,PAYMENT,3532.48,29702.0,26169.52,0.0,0.0
0,8,CASH_IN,64973.33,90308.0,155281.33,190863.36,51843.53
0,10,PAYMENT,1577.12,0.0,0.0,0.0,0.0
0,1,PAYMENT,4149.27,34867.0,30717.73,0.0,0.0
0,7,PAYMENT,27690.45,65500.41,37809.96,0.0,0.0
0,1,TRANSFER,494972.01,0.0,0.0,2185770.78,2025098.66
0,9,CASH_OUT,94954.32,0.0,0.0,304380.11,399334.43
0,10,CASH_IN,362479.75,446209.5,808689.25,828362.08,1006299.38
0,9,PAYMENT,28026.29,0.0,0.0,0.0,0.0
0,10,PAYMENT,18151.46,0.0,0.0,0.0,0.0
0,9,CASH_OUT,159529.66,15470.0,0.0,0.0,379808.35
0,10,CASH_OUT,133792.85,0.0,0.0,527880.92,308475.78
0,10,CASH_IN,102643.61,5410428.09,5513071.71,343455.16,240811.55
0,9,PAYMENT,8792.31,889772.32,880980.0,0.0,0.0
0,9,TRANSFER,1782449.83,0.0,0.0,3786521.94,8812402.79
0,10,PAYMENT,1024.84,13509.0,12484.16,0.0,0.0
0,8,PAYMENT,15132.28,0.0,0.0,0.0,0.0
0,8,CASH_OUT,166677.46,0.0,0.0,2300085.86,3038882.44
0,9,PAYMENT,19759.64,625.0,0.0,0.0,0.0
0,7,PAYMENT,1596.65,0.0,0.0,0.0,0.0
0,10,PAYMENT,2781.5,0.0,0.0,0.0,0.0
0,8,CASH_OUT,242818.69,5740.0,0.0,1247364.27,1490182.95
0,9,CASH_IN,19844.91,20346.0,40190.91,130866.06,166529.71
0,9,PAYMENT,6350.8,0.0,0.0,0.0,0.0
0,10,CASH_OUT,189135.74,0.0,0.0,3786726.22,3975861.95
